industry,level,level,line_code,value
Arts & recreation services,1,2,D1101,0
Other services,1,2,D1101,0
total,0,1,D1101,264
total,0,1,D1102,69
total,0,1,D1102,0
total,0,1,D1102,3
total,0,1,D1102,0
"Agriculture, forestry, & fishing",1,2,D1102,0
Agriculture,2,3,D1102,0
Commercial fishing,2,3,D1102,0
Forestry & logging,2,3,D1102,0
"Agriculture, forestry, & fishing support services",2,3,D1102,0
Mining,1,2,D1102,3
Manufacturing,1,2,D1102,0
"Food, beverage, & tobacco",2,3,D1102,0
"Textile, clothing, footwear, & leather",2,3,D1102,0
Wood & paper product,2,3,D1102,0
"Printing, publishing, & recorded media",2,3,D1102,0
"Petroleum, coal, chemical, & associated product",2,3,D1102,0
Non-metallic mineral product,2,3,D1102,0
Metal product,2,3,D1102,0
Transport and industrial machinery & equipment,2,3,D1102,0
Other machinery & equipment,2,3,D1102,0
Other manufacturing,2,3,D1102,0
"Electricity, gas, water, & waste services",1,2,D1102,0
Construction,1,2,D1102,45
Wholesale trade,1,2,D1102,21
Machinery & equipment wholesaling,2,3,D1102,0
Other wholesale trade,2,3,D1102,18
Retail trade,1,2,D1102,0
Accommodation & food services,1,2,D1102,0
"Transport, postal, & warehousing",1,2,D1102,0
Information media & telecommunications,1,2,D1102,3
Publishing,2,3,D1102,0
Motion picture,2,3,D1102,0
Telecommunications,2,3,D1102,0
Financial & insurance services,1,2,D1102,0
Finance,2,3,D1102,0
Insurance,2,3,D1102,0
Auxiliary,2,3,D1102,0
"Rental, hiring, & real estate services",1,2,D1102,0
"Professional, scientific, & technical services",1,2,D1102,0
Computer systems design,2,3,D1102,0
Other professional scientific,2,3,D1102,0
Administrative & support services,1,2,D1102,0
Education & training,1,2,D1102,0
Health care & social assistance,1,2,D1102,0
Arts & recreation services,1,2,D1102,0
Other services,1,2,D1102,0
total,0,1,D1102,75
total,0,1,D1103,156
total,0,1,D1103,12
total,0,1,D1103,3
total,0,1,D1103,3
"Agriculture, forestry, & fishing",1,2,D1103,0
Agriculture,2,3,D1103,0
Commercial fishing,2,3,D1103,0
Forestry & logging,2,3,D1103,0
"Agriculture, forestry, & fishing support services",2,3,D1103,0
Mining,1,2,D1103,0
Manufacturing,1,2,D1103,3
"Food, beverage, & tobacco",2,3,D1103,0
"Textile, clothing, footwear, & leather",2,3,D1103,0
Wood & paper product,2,3,D1103,0
"Printing, publishing, & recorded media",2,3,D1103,0
"Petroleum, coal, chemical, & associated product",2,3,D1103,0
Non-metallic mineral product,2,3,D1103,0
Metal product,2,3,D1103,0
Transport and industrial machinery & equipment,2,3,D1103,0
Other machinery & equipment,2,3,D1103,3
Other manufacturing,2,3,D1103,0
"Electricity, gas, water, & waste services",1,2,D1103,0
Construction,1,2,D1103,0
Wholesale trade,1,2,D1103,0
Machinery & equipment wholesaling,2,3,D1103,0
Other wholesale trade,2,3,D1103,0
Retail trade,1,2,D1103,12
Accommodation & food services,1,2,D1103,114
"Transport, postal, & warehousing",1,2,D1103,36
Information media & telecommunications,1,2,D1103,3
Publishing,2,3,D1103,0
Motion picture,2,3,D1103,0
Telecommunications,2,3,D1103,0
Financial & insurance services,1,2,D1103,0
Finance,2,3,D1103,0
Insurance,2,3,D1103,0
Auxiliary,2,3,D1103,0
"Rental, hiring, & real estate services",1,2,D1103,0
"Professional, scientific, & technical services",1,2,D1103,0
Computer systems design,2,3,D1103,0
Other professional scientific,2,3,D1103,3
Administrative & support services,1,2,D1103,0
Education & training,1,2,D1103,0
Health care & social assistance,1,2,D1103,0
Arts & recreation services,1,2,D1103,0
Other services,1,2,D1103,0
total,0,1,D1103,174
total,0,1,D1104,75
total,0,1,D1104,9
total,0,1,D1104,3
total,0,1,D1104,3
"Agriculture, forestry, & fishing",1,2,D1104,3
Agriculture,2,3,D1104,0
Commercial fishing,2,3,D1104,0
Forestry & logging,2,3,D1104,3
"Agriculture, forestry, & fishing support services",2,3,D1104,0
Mining,1,2,D1104,3
Manufacturing,1,2,D1104,9
"Food, beverage, & tobacco",2,3,D1104,9
"Textile, clothing, footwear, & leather",2,3,D1104,0
Wood & paper product,2,3,D1104,3
"Printing, publishing, & recorded media",2,3,D1104,0
"Petroleum, coal, chemical, & associated product",2,3,D1104,0
Non-metallic mineral product,2,3,D1104,0
Metal product,2,3,D1104,0
Transport and industrial machinery & equipment,2,3,D1104,0
Other machinery & equipment,2,3,D1104,0
Other manufacturing,2,3,D1104,0
"Electricity, gas, water, & waste services",1,2,D1104,0
Construction,1,2,D1104,0
Wholesale trade,1,2,D1104,21
Machinery & equipment wholesaling,2,3,D1104,0
Other wholesale trade,2,3,D1104,21
Retail trade,1,2,D1104,0
Accommodation & food services,1,2,D1104,0
"Transport, postal, & warehousing",1,2,D1104,27
Information media & telecommunications,1,2,D1104,0
Publishing,2,3,D1104,0
Motion picture,2,3,D1104,0
Telecommunications,2,3,D1104,0
Financial & insurance services,1,2,D1104,0
Finance,2,3,D1104,0
Insurance,2,3,D1104,0
Auxiliary,2,3,D1104,0
"Rental, hiring, & real estate services",1,2,D1104,12
"Professional, scientific, & technical services",1,2,D1104,0
Computer systems design,2,3,D1104,0
Other professional scientific,2,3,D1104,0
Administrative & support services,1,2,D1104,0
Education & training,1,2,D1104,9
Health care & social assistance,1,2,D1104,0
Arts & recreation services,1,2,D1104,0
Other services,1,2,D1104,0
total,0,1,D1104,90
total,0,1,D1105,144
total,0,1,D1105,6
total,0,1,D1105,6
total,0,1,D1105,3
"Agriculture, forestry, & fishing",1,2,D1105,18
Agriculture,2,3,D1105,9
Commercial fishing,2,3,D1105,0
Forestry & logging,2,3,D1105,0
"Agriculture, forestry, & fishing support services",2,3,D1105,9
Mining,1,2,D1105,3
Manufacturing,1,2,D1105,9
"Food, beverage, & tobacco",2,3,D1105,0
"Textile, clothing, footwear, & leather",2,3,D1105,0
Wood & paper product,2,3,D1105,0
"Printing, publishing, & recorded media",2,3,D1105,0
"Petroleum, coal, chemical, & associated product",2,3,D1105,0
Non-metallic mineral product,2,3,D1105,0
Metal product,2,3,D1105,0
Transport and industrial machinery & equipment,2,3,D1105,0
Other machinery & equipment,2,3,D1105,3
Other manufacturing,2,3,D1105,3
"Electricity, gas, water, & waste services",1,2,D1105,0
Construction,1,2,D1105,0
Wholesale trade,1,2,D1105,42
Machinery & equipment wholesaling,2,3,D1105,0
Other wholesale trade,2,3,D1105,39
Retail trade,1,2,D1105,0
Accommodation & food services,1,2,D1105,57
"Transport, postal, & warehousing",1,2,D1105,18
Information media & telecommunications,1,2,D1105,6
Publishing,2,3,D1105,0
Motion picture,2,3,D1105,3
Telecommunications,2,3,D1105,0
Financial & insurance services,1,2,D1105,0
Finance,2,3,D1105,0
Insurance,2,3,D1105,0
Auxiliary,2,3,D1105,0
"Rental, hiring, & real estate services",1,2,D1105,0
"Professional, scientific, & technical services",1,2,D1105,6
Computer systems design,2,3,D1105,9
Other professional scientific,2,3,D1105,0
Administrative & support services,1,2,D1105,0
Education & training,1,2,D1105,0
Health care & social assistance,1,2,D1105,0
Arts & recreation services,1,2,D1105,0
Other services,1,2,D1105,0
total,0,1,D1105,159
total,0,1,D1106,171
total,0,1,D1106,0
total,0,1,D1106,3
total,0,1,D1106,0
"Agriculture, forestry, & fishing",1,2,D1106,6
Agriculture,2,3,D1106,0
Commercial fishing,2,3,D1106,0
Forestry & logging,2,3,D1106,0
"Agriculture, forestry, & fishing support services",2,3,D1106,9
Mining,1,2,D1106,3
Manufacturing,1,2,D1106,30
"Food, beverage, & tobacco",2,3,D1106,30
"Textile, clothing, footwear, & leather",2,3,D1106,0
Wood & paper product,2,3,D1106,0
"Printing, publishing, & recorded media",2,3,D1106,0
"Petroleum, coal, chemical, & associated product",2,3,D1106,0
Non-metallic mineral product,2,3,D1106,0
Metal product,2,3,D1106,0
Transport and industrial machinery & equipment,2,3,D1106,0
Other machinery & equipment,2,3,D1106,0
Other manufacturing,2,3,D1106,0
"Electricity, gas, water, & waste services",1,2,D1106,0
Construction,1,2,D1106,0
Wholesale trade,1,2,D1106,21
Machinery & equipment wholesaling,2,3,D1106,0
Other wholesale trade,2,3,D1106,18
Retail trade,1,2,D1106,0
Accommodation & food services,1,2,D1106,57
"Transport, postal, & warehousing",1,2,D1106,36
Information media & telecommunications,1,2,D1106,9
Publishing,2,3,D1106,3
Motion picture,2,3,D1106,3
Telecommunications,2,3,D1106,0
Financial & insurance services,1,2,D1106,0
Finance,2,3,D1106,0
Insurance,2,3,D1106,0
Auxiliary,2,3,D1106,0
"Rental, hiring, & real estate services",1,2,D1106,12
"Professional, scientific, & technical services",1,2,D1106,0
Computer systems design,2,3,D1106,0
Other professional scientific,2,3,D1106,0
Administrative & support services,1,2,D1106,0
Education & training,1,2,D1106,0
Health care & social assistance,1,2,D1106,0
Arts & recreation services,1,2,D1106,0
Other services,1,2,D1106,0
total,0,1,D1106,174
total,0,1,D1107,222
total,0,1,D1107,36
total,0,1,D1107,12
total,0,1,D1107,6
"Agriculture, forestry, & fishing",1,2,D1107,24
Agriculture,2,3,D1107,21
Commercial fishing,2,3,D1107,0
Forestry & logging,2,3,D1107,3
"Agriculture, forestry, & fishing support services",2,3,D1107,0
Mining,1,2,D1107,0
Manufacturing,1,2,D1107,27
"Food, beverage, & tobacco",2,3,D1107,12
"Textile, clothing, footwear, & leather",2,3,D1107,0
Wood & paper product,2,3,D1107,3
"Printing, publishing, & recorded media",2,3,D1107,0
"Petroleum, coal, chemical, & associated product",2,3,D1107,3
Non-metallic mineral product,2,3,D1107,3
Metal product,2,3,D1107,3
Transport and industrial machinery & equipment,2,3,D1107,0
Other machinery & equipment,2,3,D1107,6
Other manufacturing,2,3,D1107,6
"Electricity, gas, water, & waste services",1,2,D1107,3
Construction,1,2,D1107,45
Wholesale trade,1,2,D1107,42
Machinery & equipment wholesaling,2,3,D1107,0
Other wholesale trade,2,3,D1107,39
Retail trade,1,2,D1107,0
Accommodation & food services,1,2,D1107,21
"Transport, postal, & warehousing",1,2,D1107,3
Information media & telecommunications,1,2,D1107,0
Publishing,2,3,D1107,0
Motion picture,2,3,D1107,0
Telecommunications,2,3,D1107,0
Financial & insurance services,1,2,D1107,0
Finance,2,3,D1107,0
Insurance,2,3,D1107,0
Auxiliary,2,3,D1107,0
"Rental, hiring, & real estate services",1,2,D1107,12
"Professional, scientific, & technical services",1,2,D1107,27
Computer systems design,2,3,D1107,0
Other professional scientific,2,3,D1107,27
Administrative & support services,1,2,D1107,0
Education & training,1,2,D1107,15
Health care & social assistance,1,2,D1107,45
Arts & recreation services,1,2,D1107,0
Other services,1,2,D1107,0
total,0,1,D1107,276
total,0,1,D1108,459
total,0,1,D1108,90
total,0,1,D1108,30
total,0,1,D1108,21
"Agriculture, forestry, & fishing",1,2,D1108,39
Agriculture,2,3,D1108,21
Commercial fishing,2,3,D1108,0
Forestry & logging,2,3,D1108,9
"Agriculture, forestry, & fishing support services",2,3,D1108,9
Mining,1,2,D1108,0
Manufacturing,1,2,D1108,51
"Food, beverage, & tobacco",2,3,D1108,3
"Textile, clothing, footwear, & leather",2,3,D1108,0
Wood & paper product,2,3,D1108,9
"Printing, publishing, & recorded media",2,3,D1108,0
"Petroleum, coal, chemical, & associated product",2,3,D1108,9
Non-metallic mineral product,2,3,D1108,6
Metal product,2,3,D1108,15
Transport and industrial machinery & equipment,2,3,D1108,9
Other machinery & equipment,2,3,D1108,0
Other manufacturing,2,3,D1108,0
"Electricity, gas, water, & waste services",1,2,D1108,3
Construction,1,2,D1108,30
Wholesale trade,1,2,D1108,57
Machinery & equipment wholesaling,2,3,D1108,0
Other wholesale trade,2,3,D1108,54
Retail trade,1,2,D1108,105
Accommodation & food services,1,2,D1108,135
"Transport, postal, & warehousing",1,2,D1108,27
Information media & telecommunications,1,2,D1108,6
Publishing,2,3,D1108,3
Motion picture,2,3,D1108,0
Telecommunications,2,3,D1108,3
Financial & insurance services,1,2,D1108,9
Finance,2,3,D1108,6
Insurance,2,3,D1108,0
Auxiliary,2,3,D1108,6
"Rental, hiring, & real estate services",1,2,D1108,3
"Professional, scientific, & technical services",1,2,D1108,3
Computer systems design,2,3,D1108,3
Other professional scientific,2,3,D1108,3
Administrative & support services,1,2,D1108,42
Education & training,1,2,D1108,3
Health care & social assistance,1,2,D1108,54
Arts & recreation services,1,2,D1108,0
Other services,1,2,D1108,27
total,0,1,D1108,600
total,0,1,D1201,1776
total,0,1,D1201,438
total,0,1,D1201,99
total,0,1,D1201,63
"Agriculture, forestry, & fishing",1,2,D1201,180
Agriculture,2,3,D1201,108
Commercial fishing,2,3,D1201,6
Forestry & logging,2,3,D1201,18
"Agriculture, forestry, & fishing support services",2,3,D1201,48
Mining,1,2,D1201,3
Manufacturing,1,2,D1201,234
"Food, beverage, & tobacco",2,3,D1201,93
"Textile, clothing, footwear, & leather",2,3,D1201,12
Wood & paper product,2,3,D1201,3
"Printing, publishing, & recorded media",2,3,D1201,15
"Petroleum, coal, chemical, & associated product",2,3,D1201,12
Non-metallic mineral product,2,3,D1201,15
Metal product,2,3,D1201,15
Transport and industrial machinery & equipment,2,3,D1201,33
Other machinery & equipment,2,3,D1201,15
Other manufacturing,2,3,D1201,18
"Electricity, gas, water, & waste services",1,2,D1201,18
Construction,1,2,D1201,234
Wholesale trade,1,2,D1201,240
Machinery & equipment wholesaling,2,3,D1201,27
Other wholesale trade,2,3,D1201,213
Retail trade,1,2,D1201,192
Accommodation & food services,1,2,D1201,537
"Transport, postal, & warehousing",1,2,D1201,57
Information media & telecommunications,1,2,D1201,18
Publishing,2,3,D1201,6
Motion picture,2,3,D1201,0
Telecommunications,2,3,D1201,9
Financial & insurance services,1,2,D1201,21
Finance,2,3,D1201,6
Insurance,2,3,D1201,0
Auxiliary,2,3,D1201,15
"Rental, hiring, & real estate services",1,2,D1201,57
"Professional, scientific, & technical services",1,2,D1201,213
Computer systems design,2,3,D1201,51
Other professional scientific,2,3,D1201,165
Administrative & support services,1,2,D1201,51
Education & training,1,2,D1201,18
Health care & social assistance,1,2,D1201,210
Arts & recreation services,1,2,D1201,27
Other services,1,2,D1201,63
total,0,1,D1201,2379
total,0,1,D1202,216
total,0,1,D1202,75
total,0,1,D1202,12
total,0,1,D1202,6
"Agriculture, forestry, & fishing",1,2,D1202,18
Agriculture,2,3,D1202,9
Commercial fishing,2,3,D1202,0
Forestry & logging,2,3,D1202,9
"Agriculture, forestry, & fishing support services",2,3,D1202,3
Mining,1,2,D1202,3
Manufacturing,1,2,D1202,81
"Food, beverage, & tobacco",2,3,D1202,48
"Textile, clothing, footwear, & leather",2,3,D1202,0
Wood & paper product,2,3,D1202,6
"Printing, publishing, & recorded media",2,3,D1202,3
"Petroleum, coal, chemical, & associated product",2,3,D1202,0
Non-metallic mineral product,2,3,D1202,9
Metal product,2,3,D1202,0
Transport and industrial machinery & equipment,2,3,D1202,9
Other machinery & equipment,2,3,D1202,3
Other manufacturing,2,3,D1202,0
"Electricity, gas, water, & waste services",1,2,D1202,0
Construction,1,2,D1202,15
Wholesale trade,1,2,D1202,69
Machinery & equipment wholesaling,2,3,D1202,0
Other wholesale trade,2,3,D1202,69
Retail trade,1,2,D1202,0
Accommodation & food services,1,2,D1202,12
"Transport, postal, & warehousing",1,2,D1202,39
Information media & telecommunications,1,2,D1202,0
Publishing,2,3,D1202,0
Motion picture,2,3,D1202,0
Telecommunications,2,3,D1202,0
Financial & insurance services,1,2,D1202,12
Finance,2,3,D1202,3
Insurance,2,3,D1202,0
Auxiliary,2,3,D1202,12
"Rental, hiring, & real estate services",1,2,D1202,0
"Professional, scientific, & technical services",1,2,D1202,9
Computer systems design,2,3,D1202,12
Other professional scientific,2,3,D1202,3
Administrative & support services,1,2,D1202,18
Education & training,1,2,D1202,6
Health care & social assistance,1,2,D1202,0
Arts & recreation services,1,2,D1202,3
Other services,1,2,D1202,12
total,0,1,D1202,309
total,0,1,D1203,51
total,0,1,D1203,9
total,0,1,D1203,15
total,0,1,D1203,9
"Agriculture, forestry, & fishing",1,2,D1203,0
Agriculture,2,3,D1203,0
Commercial fishing,2,3,D1203,0
Forestry & logging,2,3,D1203,0
"Agriculture, forestry, & fishing support services",2,3,D1203,0
Mining,1,2,D1203,3
Manufacturing,1,2,D1203,3
"Food, beverage, & tobacco",2,3,D1203,0
"Textile, clothing, footwear, & leather",2,3,D1203,0
Wood & paper product,2,3,D1203,0
"Printing, publishing, & recorded media",2,3,D1203,0
"Petroleum, coal, chemical, & associated product",2,3,D1203,0
Non-metallic mineral product,2,3,D1203,3
Metal product,2,3,D1203,0
Transport and industrial machinery & equipment,2,3,D1203,0
Other machinery & equipment,2,3,D1203,0
Other manufacturing,2,3,D1203,0
"Electricity, gas, water, & waste services",1,2,D1203,0
Construction,1,2,D1203,3
Wholesale trade,1,2,D1203,3
Machinery & equipment wholesaling,2,3,D1203,3
Other wholesale trade,2,3,D1203,0
Retail trade,1,2,D1203,0
Accommodation & food services,1,2,D1203,0
"Transport, postal, & warehousing",1,2,D1203,0
Information media & telecommunications,1,2,D1203,3
Publishing,2,3,D1203,0
Motion picture,2,3,D1203,0
Telecommunications,2,3,D1203,0
Financial & insurance services,1,2,D1203,15
Finance,2,3,D1203,0
Insurance,2,3,D1203,0
Auxiliary,2,3,D1203,15
"Rental, hiring, & real estate services",1,2,D1203,15
"Professional, scientific, & technical services",1,2,D1203,15
Computer systems design,2,3,D1203,6
Other professional scientific,2,3,D1203,9
Administrative & support services,1,2,D1203,18
Education & training,1,2,D1203,3
Health care & social assistance,1,2,D1203,0
Arts & recreation services,1,2,D1203,0
Other services,1,2,D1203,0
total,0,1,D1203,81
total,0,1,D1204,57
total,0,1,D1204,9
total,0,1,D1204,12
total,0,1,D1204,9
"Agriculture, forestry, & fishing",1,2,D1204,0
Agriculture,2,3,D1204,0
Commercial fishing,2,3,D1204,0
Forestry & logging,2,3,D1204,0
"Agriculture, forestry, & fishing support services",2,3,D1204,0
Mining,1,2,D1204,3
Manufacturing,1,2,D1204,12
"Food, beverage, & tobacco",2,3,D1204,3
"Textile, clothing, footwear, & leather",2,3,D1204,0
Wood & paper product,2,3,D1204,0
"Printing, publishing, & recorded media",2,3,D1204,0
"Petroleum, coal, chemical, & associated product",2,3,D1204,3
Non-metallic mineral product,2,3,D1204,6
Metal product,2,3,D1204,0
Transport and industrial machinery & equipment,2,3,D1204,0
Other machinery & equipment,2,3,D1204,3
Other manufacturing,2,3,D1204,0
"Electricity, gas, water, & waste services",1,2,D1204,0
Construction,1,2,D1204,3
Wholesale trade,1,2,D1204,3
Machinery & equipment wholesaling,2,3,D1204,0
Other wholesale trade,2,3,D1204,0
Retail trade,1,2,D1204,0
Accommodation & food services,1,2,D1204,3
"Transport, postal, & warehousing",1,2,D1204,0
Information media & telecommunications,1,2,D1204,3
Publishing,2,3,D1204,3
Motion picture,2,3,D1204,0
Telecommunications,2,3,D1204,0
Financial & insurance services,1,2,D1204,12
Finance,2,3,D1204,3
Insurance,2,3,D1204,0
Auxiliary,2,3,D1204,9
"Rental, hiring, & real estate services",1,2,D1204,12
"Professional, scientific, & technical services",1,2,D1204,27
Computer systems design,2,3,D1204,3
Other professional scientific,2,3,D1204,27
Administrative & support services,1,2,D1204,0
Education & training,1,2,D1204,3
Health care & social assistance,1,2,D1204,0
Arts & recreation services,1,2,D1204,0
Other services,1,2,D1204,0
total,0,1,D1204,87
total,0,1,D1205,321
total,0,1,D1205,93
total,0,1,D1205,39
total,0,1,D1205,66
"Agriculture, forestry, & fishing",1,2,D1205,36
Agriculture,2,3,D1205,24
Commercial fishing,2,3,D1205,0
Forestry & logging,2,3,D1205,3
"Agriculture, forestry, & fishing support services",2,3,D1205,9
Mining,1,2,D1205,6
Manufacturing,1,2,D1205,45
"Food, beverage, & tobacco",2,3,D1205,21
"Textile, clothing, footwear, & leather",2,3,D1205,3
Wood & paper product,2,3,D1205,3
"Printing, publishing, & recorded media",2,3,D1205,0
"Petroleum, coal, chemical, & associated product",2,3,D1205,9
Non-metallic mineral product,2,3,D1205,0
Metal product,2,3,D1205,3
Transport and industrial machinery & equipment,2,3,D1205,3
Other machinery & equipment,2,3,D1205,3
Other manufacturing,2,3,D1205,0
"Electricity, gas, water, & waste services",1,2,D1205,6
Construction,1,2,D1205,18
Wholesale trade,1,2,D1205,105
Machinery & equipment wholesaling,2,3,D1205,42
Other wholesale trade,2,3,D1205,63
Retail trade,1,2,D1205,72
Accommodation & food services,1,2,D1205,78
"Transport, postal, & warehousing",1,2,D1205,24
Information media & telecommunications,1,2,D1205,6
Publishing,2,3,D1205,0
Motion picture,2,3,D1205,0
Telecommunications,2,3,D1205,3
Financial & insurance services,1,2,D1205,9
Finance,2,3,D1205,3
Insurance,2,3,D1205,0
Auxiliary,2,3,D1205,6
"Rental, hiring, & real estate services",1,2,D1205,0
"Professional, scientific, & technical services",1,2,D1205,36
Computer systems design,2,3,D1205,9
Other professional scientific,2,3,D1205,30
Administrative & support services,1,2,D1205,36
Education & training,1,2,D1205,6
Health care & social assistance,1,2,D1205,3
Arts & recreation services,1,2,D1205,3
Other services,1,2,D1205,24
total,0,1,D1205,519
total,0,1,D1206,156
total,0,1,D1206,57
total,0,1,D1206,15
total,0,1,D1206,15
"Agriculture, forestry, & fishing",1,2,D1206,9
Agriculture,2,3,D1206,0
Commercial fishing,2,3,D1206,0
Forestry & logging,2,3,D1206,0
"Agriculture, forestry, & fishing support services",2,3,D1206,12
Mining,1,2,D1206,3
Manufacturing,1,2,D1206,24
"Food, beverage, & tobacco",2,3,D1206,9
"Textile, clothing, footwear, & leather",2,3,D1206,3
Wood & paper product,2,3,D1206,0
"Printing, publishing, & recorded media",2,3,D1206,0
"Petroleum, coal, chemical, & associated product",2,3,D1206,3
Non-metallic mineral product,2,3,D1206,0
Metal product,2,3,D1206,6
Transport and industrial machinery & equipment,2,3,D1206,0
Other machinery & equipment,2,3,D1206,3
Other manufacturing,2,3,D1206,0
"Electricity, gas, water, & waste services",1,2,D1206,0
Construction,1,2,D1206,48
Wholesale trade,1,2,D1206,3
Machinery & equipment wholesaling,2,3,D1206,0
Other wholesale trade,2,3,D1206,0
Retail trade,1,2,D1206,3
Accommodation & food services,1,2,D1206,21
"Transport, postal, & warehousing",1,2,D1206,9
Information media & telecommunications,1,2,D1206,9
Publishing,2,3,D1206,3
Motion picture,2,3,D1206,0
Telecommunications,2,3,D1206,3
Financial & insurance services,1,2,D1206,15
Finance,2,3,D1206,3
Insurance,2,3,D1206,3
Auxiliary,2,3,D1206,12
"Rental, hiring, & real estate services",1,2,D1206,15
"Professional, scientific, & technical services",1,2,D1206,54
Computer systems design,2,3,D1206,30
Other professional scientific,2,3,D1206,27
Administrative & support services,1,2,D1206,0
Education & training,1,2,D1206,6
Health care & social assistance,1,2,D1206,0
Arts & recreation services,1,2,D1206,3
Other services,1,2,D1206,12
total,0,1,D1206,243
total,0,1,D1207,360
total,0,1,D1207,69
total,0,1,D1207,27
total,0,1,D1207,18
"Agriculture, forestry, & fishing",1,2,D1207,42
Agriculture,2,3,D1207,21
Commercial fishing,2,3,D1207,0
Forestry & logging,2,3,D1207,12
"Agriculture, forestry, & fishing support services",2,3,D1207,12
Mining,1,2,D1207,3
Manufacturing,1,2,D1207,69
"Food, beverage, & tobacco",2,3,D1207,33
"Textile, clothing, footwear, & leather",2,3,D1207,9
Wood & paper product,2,3,D1207,0
"Printing, publishing, & recorded media",2,3,D1207,6
"Petroleum, coal, chemical, & associated product",2,3,D1207,6
Non-metallic mineral product,2,3,D1207,0
Metal product,2,3,D1207,3
Transport and industrial machinery & equipment,2,3,D1207,0
Other machinery & equipment,2,3,D1207,6
Other manufacturing,2,3,D1207,6
"Electricity, gas, water, & waste services",1,2,D1207,0
Construction,1,2,D1207,66
Wholesale trade,1,2,D1207,33
Machinery & equipment wholesaling,2,3,D1207,0
Other wholesale trade,2,3,D1207,30
Retail trade,1,2,D1207,0
Accommodation & food services,1,2,D1207,81
"Transport, postal, & warehousing",1,2,D1207,75
Information media & telecommunications,1,2,D1207,3
Publishing,2,3,D1207,0
Motion picture,2,3,D1207,0
Telecommunications,2,3,D1207,0
Financial & insurance services,1,2,D1207,9
Finance,2,3,D1207,3
Insurance,2,3,D1207,0
Auxiliary,2,3,D1207,6
"Rental, hiring, & real estate services",1,2,D1207,39
"Professional, scientific, & technical services",1,2,D1207,9
Computer systems design,2,3,D1207,9
Other professional scientific,2,3,D1207,3
Administrative & support services,1,2,D1207,0
Education & training,1,2,D1207,9
Health care & social assistance,1,2,D1207,18
Arts & recreation services,1,2,D1207,0
Other services,1,2,D1207,12
total,0,1,D1207,474
total,0,1,D1208,1347
total,0,1,D1208,189
total,0,1,D1208,72
total,0,1,D1208,36
"Agriculture, forestry, & fishing",1,2,D1208,267
Agriculture,2,3,D1208,231
Commercial fishing,2,3,D1208,3
Forestry & logging,2,3,D1208,15
"Agriculture, forestry, & fishing support services",2,3,D1208,21
Mining,1,2,D1208,0
Manufacturing,1,2,D1208,198
"Food, beverage, & tobacco",2,3,D1208,57
"Textile, clothing, footwear, & leather",2,3,D1208,6
Wood & paper product,2,3,D1208,30
"Printing, publishing, & recorded media",2,3,D1208,3
"Petroleum, coal, chemical, & associated product",2,3,D1208,18
Non-metallic mineral product,2,3,D1208,12
Metal product,2,3,D1208,18
Transport and industrial machinery & equipment,2,3,D1208,48
Other machinery & equipment,2,3,D1208,6
Other manufacturing,2,3,D1208,0
"Electricity, gas, water, & waste services",1,2,D1208,9
Construction,1,2,D1208,171
Wholesale trade,1,2,D1208,63
Machinery & equipment wholesaling,2,3,D1208,15
Other wholesale trade,2,3,D1208,45
Retail trade,1,2,D1208,72
Accommodation & food services,1,2,D1208,390
"Transport, postal, & warehousing",1,2,D1208,129
Information media & telecommunications,1,2,D1208,3
Publishing,2,3,D1208,0
Motion picture,2,3,D1208,0
Telecommunications,2,3,D1208,0
Financial & insurance services,1,2,D1208,15
Finance,2,3,D1208,6
Insurance,2,3,D1208,3
Auxiliary,2,3,D1208,9
"Rental, hiring, & real estate services",1,2,D1208,48
"Professional, scientific, & technical services",1,2,D1208,9
Computer systems design,2,3,D1208,6
Other professional scientific,2,3,D1208,6
Administrative & support services,1,2,D1208,42
Education & training,1,2,D1208,33
Health care & social assistance,1,2,D1208,135
Arts & recreation services,1,2,D1208,18
Other services,1,2,D1208,30
total,0,1,D1208,1644
total,0,1,D1300.01,7107
total,0,1,D1300.01,2343
total,0,1,D1300.01,672
total,0,1,D1300.01,522
"Agriculture, forestry, & fishing",1,2,D1300.01,1434
Agriculture,2,3,D1300.01,936
Commercial fishing,2,3,D1300.01,18
Forestry & logging,2,3,D1300.01,141
"Agriculture, forestry, & fishing support services",2,3,D1300.01,342
Mining,1,2,D1300.01,27
Manufacturing,1,2,D1300.01,1392
"Food, beverage, & tobacco",2,3,D1300.01,333
"Textile, clothing, footwear, & leather",2,3,D1300.01,81
Wood & paper product,2,3,D1300.01,171
"Printing, publishing, & recorded media",2,3,D1300.01,72
"Petroleum, coal, chemical, & associated product",2,3,D1300.01,102
Non-metallic mineral product,2,3,D1300.01,51
Metal product,2,3,D1300.01,237
Transport and industrial machinery & equipment,2,3,D1300.01,225
Other machinery & equipment,2,3,D1300.01,36
Other manufacturing,2,3,D1300.01,81
"Electricity, gas, water, & waste services",1,2,D1300.01,60
Construction,1,2,D1300.01,1935
Wholesale trade,1,2,D1300.01,681
Machinery & equipment wholesaling,2,3,D1300.01,129
Other wholesale trade,2,3,D1300.01,552
Retail trade,1,2,D1300.01,630
Accommodation & food services,1,2,D1300.01,1287
"Transport, postal, & warehousing",1,2,D1300.01,579
Information media & telecommunications,1,2,D1300.01,93
Publishing,2,3,D1300.01,33
Motion picture,2,3,D1300.01,21
Telecommunications,2,3,D1300.01,36
