industry,level,level,line_code,value
Mining,1,2,D0301.02,60
Manufacturing,1,2,D0301.02,3216
"Food, beverage, & tobacco",2,3,D0301.02,675
"Textile, clothing, footwear, & leather",2,3,D0301.02,165
Wood & paper product,2,3,D0301.02,276
"Printing, publishing, & recorded media",2,3,D0301.02,147
"Petroleum, coal, chemical, & associated product",2,3,D0301.02,303
Non-metallic mineral product,2,3,D0301.02,123
Metal product,2,3,D0301.02,630
Transport and industrial machinery & equipment,2,3,D0301.02,501
Other machinery & equipment,2,3,D0301.02,162
Other manufacturing,2,3,D0301.02,234
"Electricity, gas, water, & waste services",1,2,D0301.02,96
Construction,1,2,D0301.02,3714
Wholesale trade,1,2,D0301.02,2178
Machinery & equipment wholesaling,2,3,D0301.02,855
Other wholesale trade,2,3,D0301.02,1320
Retail trade,1,2,D0301.02,3648
Accommodation & food services,1,2,D0301.02,4410
"Transport, postal, & warehousing",1,2,D0301.02,840
Information media & telecommunications,1,2,D0301.02,315
Publishing,2,3,D0301.02,114
Motion picture,2,3,D0301.02,99
Telecommunications,2,3,D0301.02,99
Financial & insurance services,1,2,D0301.02,459
Finance,2,3,D0301.02,126
Insurance,2,3,D0301.02,33
Auxiliary,2,3,D0301.02,300
"Rental, hiring, & real estate services",1,2,D0301.02,558
"Professional, scientific, & technical services",1,2,D0301.02,3681
Computer systems design,2,3,D0301.02,738
Other professional scientific,2,3,D0301.02,2946
Administrative & support services,1,2,D0301.02,1395
Education & training,1,2,D0301.02,768
Health care & social assistance,1,2,D0301.02,1980
Arts & recreation services,1,2,D0301.02,309
Other services,1,2,D0301.02,879
total,0,1,D0301.02,30276
total,0,1,D0302.01,8679
total,0,1,D0302.01,1734
total,0,1,D0302.01,414
total,0,1,D0302.01,165
"Agriculture, forestry, & fishing",1,2,D0302.01,597
Agriculture,2,3,D0302.01,357
Commercial fishing,2,3,D0302.01,12
Forestry & logging,2,3,D0302.01,72
"Agriculture, forestry, & fishing support services",2,3,D0302.01,159
Mining,1,2,D0302.01,18
Manufacturing,1,2,D0302.01,1476
"Food, beverage, & tobacco",2,3,D0302.01,273
"Textile, clothing, footwear, & leather",2,3,D0302.01,78
Wood & paper product,2,3,D0302.01,144
"Printing, publishing, & recorded media",2,3,D0302.01,81
"Petroleum, coal, chemical, & associated product",2,3,D0302.01,48
Non-metallic mineral product,2,3,D0302.01,57
Metal product,2,3,D0302.01,306
Transport and industrial machinery & equipment,2,3,D0302.01,327
Other machinery & equipment,2,3,D0302.01,48
Other manufacturing,2,3,D0302.01,111
"Electricity, gas, water, & waste services",1,2,D0302.01,36
Construction,1,2,D0302.01,1395
Wholesale trade,1,2,D0302.01,729
Machinery & equipment wholesaling,2,3,D0302.01,78
Other wholesale trade,2,3,D0302.01,651
Retail trade,1,2,D0302.01,1494
Accommodation & food services,1,2,D0302.01,1824
"Transport, postal, & warehousing",1,2,D0302.01,423
Information media & telecommunications,1,2,D0302.01,69
Publishing,2,3,D0302.01,33
Motion picture,2,3,D0302.01,21
Telecommunications,2,3,D0302.01,15
Financial & insurance services,1,2,D0302.01,66
Finance,2,3,D0302.01,21
Insurance,2,3,D0302.01,0
Auxiliary,2,3,D0302.01,45
"Rental, hiring, & real estate services",1,2,D0302.01,312
"Professional, scientific, & technical services",1,2,D0302.01,966
Computer systems design,2,3,D0302.01,111
Other professional scientific,2,3,D0302.01,858
Administrative & support services,1,2,D0302.01,360
Education & training,1,2,D0302.01,201
Health care & social assistance,1,2,D0302.01,564
Arts & recreation services,1,2,D0302.01,90
Other services,1,2,D0302.01,369
total,0,1,D0302.01,10995
total,0,1,D0302.02,23565
total,0,1,D0302.02,6120
